network_type,network_label,X0_random,X0_hubs,delta_a0,subsidy_start,subsidy_end,T,n_trials,mean_final_X
random,ER,0.1,0.01,0.1,0,15,50,40,0.07675
random,ER,0.1,0.02,0.1,0,15,50,40,0.154375
random,ER,0.1,0.03,0.1,0,15,50,40,0.379625
random,ER,0.1,0.04,0.1,0,15,50,40,0.6060000000000001
random,ER,0.1,0.05,0.1,0,15,50,40,0.8748750000000001
random,ER,0.1,0.01,0.2,0,15,50,40,0.05412499999999999
random,ER,0.1,0.02,0.2,0,15,50,40,0.15506250000000002
random,ER,0.1,0.03,0.2,0,15,50,40,0.40549999999999997
random,ER,0.1,0.04,0.2,0,15,50,40,0.679
random,ER,0.1,0.05,0.2,0,15,50,40,0.8754375
random,ER,0.1,0.01,0.30000000000000004,0,15,50,40,0.10250000000000001
random,ER,0.1,0.02,0.30000000000000004,0,15,50,40,0.15812500000000002
random,ER,0.1,0.03,0.30000000000000004,0,15,50,40,0.40768750000000004
random,ER,0.1,0.04,0.30000000000000004,0,15,50,40,0.8238125000000001
random,ER,0.1,0.05,0.30000000000000004,0,15,50,40,0.9721875000000001
random,ER,0.1,0.01,0.4,0,15,50,40,0.10462500000000001
random,ER,0.1,0.02,0.4,0,15,50,40,0.2336875
random,ER,0.1,0.03,0.4,0,15,50,40,0.531625
random,ER,0.1,0.04,0.4,0,15,50,40,0.8974375
random,ER,0.1,0.05,0.4,0,15,50,40,0.9727500000000001
random,ER,0.1,0.01,0.5,0,15,50,40,0.2288125
random,ER,0.1,0.02,0.5,0,15,50,40,0.3836875
random,ER,0.1,0.03,0.5,0,15,50,40,0.655375
random,ER,0.1,0.04,0.5,0,15,50,40,0.9223750000000001
random,ER,0.1,0.05,0.5,0,15,50,40,0.9727500000000001
random,ER,0.1,0.01,0.6,0,15,50,40,0.2538125
random,ER,0.1,0.02,0.6,0,15,50,40,0.4086875
random,ER,0.1,0.03,0.6,0,15,50,40,0.655375
random,ER,0.1,0.04,0.6,0,15,50,40,0.9223750000000001
random,ER,0.1,0.05,0.6,0,15,50,40,0.9727500000000001
BA,BA,0.1,0.01,0.1,0,15,50,40,0.075
BA,BA,0.1,0.02,0.1,0,15,50,40,0.65
BA,BA,0.1,0.03,0.1,0,15,50,40,1.0
BA,BA,0.1,0.04,0.1,0,15,50,40,1.0
BA,BA,0.1,0.05,0.1,0,15,50,40,1.0
BA,BA,0.1,0.01,0.2,0,15,50,40,0.1
BA,BA,0.1,0.02,0.2,0,15,50,40,0.7
BA,BA,0.1,0.03,0.2,0,15,50,40,1.0
BA,BA,0.1,0.04,0.2,0,15,50,40,1.0
BA,BA,0.1,0.05,0.2,0,15,50,40,1.0
BA,BA,0.1,0.01,0.30000000000000004,0,15,50,40,0.2
BA,BA,0.1,0.02,0.30000000000000004,0,15,50,40,0.825
