X_mean,X_med,X_q10,X_q25,X_q75,X_q90
0.04787500000000001,0.04625,0.0,0.02375,0.063125,0.105
0.1133125,0.1225,0.0,0.0525,0.181875,0.22825
0.21687499999999998,0.21375,0.0,0.104375,0.33437500000000003,0.40525000000000005
0.37125,0.39625,0.0,0.20375,0.535625,0.6652500000000001
0.5585625000000001,0.67625,0.0,0.3225,0.8025,0.9125000000000001
0.6966249999999999,0.9075,0.0,0.470625,0.96875,0.99775
0.7749999999999999,0.98375,0.0,0.708125,1.0,1.0
0.8094374999999999,1.0,0.0,0.925,1.0,1.0
0.8215625,1.0,0.0,0.9962500000000001,1.0,1.0
0.825,1.0,0.0,1.0,1.0,1.0
0.825,1.0,0.0,1.0,1.0,1.0
0.825,1.0,0.0,1.0,1.0,1.0
0.825,1.0,0.0,1.0,1.0,1.0
0.825,1.0,0.0,1.0,1.0,1.0
0.825,1.0,0.0,1.0,1.0,1.0
0.825,1.0,0.0,1.0,1.0,1.0
0.825,1.0,0.0,1.0,1.0,1.0
0.825,1.0,0.0,1.0,1.0,1.0
0.825,1.0,0.0,1.0,1.0,1.0
0.825,1.0,0.0,1.0,1.0,1.0
0.825,1.0,0.0,1.0,1.0,1.0
0.825,1.0,0.0,1.0,1.0,1.0
0.825,1.0,0.0,1.0,1.0,1.0
0.825,1.0,0.0,1.0,1.0,1.0
0.825,1.0,0.0,1.0,1.0,1.0
0.825,1.0,0.0,1.0,1.0,1.0
0.825,1.0,0.0,1.0,1.0,1.0
0.825,1.0,0.0,1.0,1.0,1.0
0.825,1.0,0.0,1.0,1.0,1.0
0.825,1.0,0.0,1.0,1.0,1.0
0.825,1.0,0.0,1.0,1.0,1.0
0.825,1.0,0.0,1.0,1.0,1.0
0.825,1.0,0.0,1.0,1.0,1.0
0.825,1.0,0.0,1.0,1.0,1.0
0.825,1.0,0.0,1.0,1.0,1.0
0.825,1.0,0.0,1.0,1.0,1.0
0.825,1.0,0.0,1.0,1.0,1.0
0.825,1.0,0.0,1.0,1.0,1.0
0.825,1.0,0.0,1.0,1.0,1.0
0.825,1.0,0.0,1.0,1.0,1.0
0.825,1.0,0.0,1.0,1.0,1.0
0.825,1.0,0.0,1.0,1.0,1.0
0.825,1.0,0.0,1.0,1.0,1.0
0.825,1.0,0.0,1.0,1.0,1.0
0.825,1.0,0.0,1.0,1.0,1.0
0.825,1.0,0.0,1.0,1.0,1.0
0.825,1.0,0.0,1.0,1.0,1.0
0.825,1.0,0.0,1.0,1.0,1.0
0.825,1.0,0.0,1.0,1.0,1.0
0.825,1.0,0.0,1.0,1.0,1.0
