network_type,X0_random,X0_hubs,delta_a0,T,n_trials,subsidy_start,subsidy_end,mean_final_X
random,0.1,0.01,0.1,50,40,0,15,0.07675
random,0.1,0.02,0.1,50,40,0,15,0.154375
random,0.1,0.03,0.1,50,40,0,15,0.379625
random,0.1,0.04,0.1,50,40,0,15,0.6060000000000001
random,0.1,0.05,0.1,50,40,0,15,0.8748750000000001
random,0.1,0.01,0.2,50,40,0,15,0.05412499999999999
random,0.1,0.02,0.2,50,40,0,15,0.15506250000000002
random,0.1,0.03,0.2,50,40,0,15,0.40549999999999997
random,0.1,0.04,0.2,50,40,0,15,0.679
random,0.1,0.05,0.2,50,40,0,15,0.8754375
random,0.1,0.01,0.30000000000000004,50,40,0,15,0.10250000000000001
random,0.1,0.02,0.30000000000000004,50,40,0,15,0.15812500000000002
random,0.1,0.03,0.30000000000000004,50,40,0,15,0.40768750000000004
random,0.1,0.04,0.30000000000000004,50,40,0,15,0.8238125000000001
random,0.1,0.05,0.30000000000000004,50,40,0,15,0.9721875000000001
random,0.1,0.01,0.4,50,40,0,15,0.10462500000000001
random,0.1,0.02,0.4,50,40,0,15,0.2336875
random,0.1,0.03,0.4,50,40,0,15,0.531625
random,0.1,0.04,0.4,50,40,0,15,0.8974375
random,0.1,0.05,0.4,50,40,0,15,0.9727500000000001
random,0.1,0.01,0.5,50,40,0,15,0.2288125
random,0.1,0.02,0.5,50,40,0,15,0.3836875
random,0.1,0.03,0.5,50,40,0,15,0.655375
random,0.1,0.04,0.5,50,40,0,15,0.9223750000000001
random,0.1,0.05,0.5,50,40,0,15,0.9727500000000001
random,0.1,0.01,0.6,50,40,0,15,0.2538125
random,0.1,0.02,0.6,50,40,0,15,0.4086875
random,0.1,0.03,0.6,50,40,0,15,0.655375
random,0.1,0.04,0.6,50,40,0,15,0.9223750000000001
random,0.1,0.05,0.6,50,40,0,15,0.9727500000000001
BA,0.1,0.01,0.1,50,40,0,15,0.075
BA,0.1,0.02,0.1,50,40,0,15,0.65
BA,0.1,0.03,0.1,50,40,0,15,1.0
BA,0.1,0.04,0.1,50,40,0,15,1.0
BA,0.1,0.05,0.1,50,40,0,15,1.0
BA,0.1,0.01,0.2,50,40,0,15,0.1
BA,0.1,0.02,0.2,50,40,0,15,0.7
BA,0.1,0.03,0.2,50,40,0,15,1.0
BA,0.1,0.04,0.2,50,40,0,15,1.0
BA,0.1,0.05,0.2,50,40,0,15,1.0
BA,0.1,0.01,0.30000000000000004,50,40,0,15,0.2
BA,0.1,0.02,0.30000000000000004,50,40,0,15,0.825
BA,0.1,0.03,0.30000000000000004,50,40,0,15,1.0
BA,0.1,0.04,0.30000000000000004,50,40,0,15,1.0
BA,0.1,0.05,0.30000000000000004,50,40,0,15,1.0
BA,0.1,0.01,0.4,50,40,0,15,0.25
BA,0.1,0.02,0.4,50,40,0,15,0.875
BA,0.1,0.03,0.4,50,40,0,15,1.0
BA,0.1,0.04,0.4,50,40,0,15,1.0
BA,0.1,0.05,0.4,50,40,0,15,1.0
BA,0.1,0.01,0.5,50,40,0,15,0.275
BA,0.1,0.02,0.5,50,40,0,15,0.9260625000000001
BA,0.1,0.03,0.5,50,40,0,15,1.0
BA,0.1,0.04,0.5,50,40,0,15,1.0
BA,0.1,0.05,0.5,50,40,0,15,1.0
BA,0.1,0.01,0.6,50,40,0,15,0.275
BA,0.1,0.02,0.6,50,40,0,15,0.9260625000000001
BA,0.1,0.03,0.6,50,40,0,15,1.0
BA,0.1,0.04,0.6,50,40,0,15,1.0
BA,0.1,0.05,0.6,50,40,0,15,1.0
WS,0.1,0.01,0.1,50,40,0,15,0.5
WS,0.1,0.02,0.1,50,40,0,15,0.65
WS,0.1,0.03,0.1,50,40,0,15,0.825
WS,0.1,0.04,0.1,50,40,0,15,0.95
WS,0.1,0.05,0.1,50,40,0,15,0.975
WS,0.1,0.01,0.2,50,40,0,15,0.5
WS,0.1,0.02,0.2,50,40,0,15,0.65
WS,0.1,0.03,0.2,50,40,0,15,0.825
WS,0.1,0.04,0.2,50,40,0,15,0.95
WS,0.1,0.05,0.2,50,40,0,15,0.975
WS,0.1,0.01,0.30000000000000004,50,40,0,15,0.5
WS,0.1,0.02,0.30000000000000004,50,40,0,15,0.65
WS,0.1,0.03,0.30000000000000004,50,40,0,15,0.825
WS,0.1,0.04,0.30000000000000004,50,40,0,15,0.95
WS,0.1,0.05,0.30000000000000004,50,40,0,15,0.975
WS,0.1,0.01,0.4,50,40,0,15,0.525
WS,0.1,0.02,0.4,50,40,0,15,0.65
WS,0.1,0.03,0.4,50,40,0,15,0.825
WS,0.1,0.04,0.4,50,40,0,15,0.95
WS,0.1,0.05,0.4,50,40,0,15,0.975
WS,0.1,0.01,0.5,50,40,0,15,0.525
WS,0.1,0.02,0.5,50,40,0,15,0.65
WS,0.1,0.03,0.5,50,40,0,15,0.825
WS,0.1,0.04,0.5,50,40,0,15,0.95
WS,0.1,0.05,0.5,50,40,0,15,0.975
WS,0.1,0.01,0.6,50,40,0,15,0.525
WS,0.1,0.02,0.6,50,40,0,15,0.65
WS,0.1,0.03,0.6,50,40,0,15,0.825
WS,0.1,0.04,0.6,50,40,0,15,0.95
WS,0.1,0.05,0.6,50,40,0,15,0.975
